"CODE SITE";"DESIGNATION";"LATITUDE";"LONGITUDE";"OBSERV. 1";"OBSERV. 2";
"884";"DS DEPOT TONOLI MARMANDE";".0000000";".0000000";"";"";
"885";"DS DEPOT INNOVERT TONNEINS";".0000000";".0000000";"";"";
"891";"DS DEPOT SDA NEGOCES BEGUEY";".0000000";".0000000";"";"";
"892";"DS DEPOT SDA NEGOCES ST MARTIN";".0000000";".0000000";"";"";
"893";"DS DEPOT SDA NEGOCES CASTILLON";".0000000";".0000000";"";"";
"894";"DS DEPOT SAINT MAIXANT";".0000000";".0000000";"";"";
"895";"DS PRET MATERIEL";".0000000";".0000000";"";"";
"601";"GOULENS";"44.0985850";".6576190";"";"";
"5";"CASTILLON";"44.8580670";"-.0283080";"";"";
"31";"ST SYLVESTRE";"44.3981400";".7959480";"";"";
"32";"LE TEMPLE";"44.3747260";".5067070";"";"";
"41";"GIRONDE SUR DROPT";"44.5854200";"-.0805300";"";"";
"46";"PARDAILLAN";"44.6420900";".2622260";"";"";
"47";"TONNEINS";"44.4022350";".3052680";"";"";
"51";"MARMANDE";".0000000";".0000000";"";"";
"56";"BEGUEY";"44.6530550";"-.3350620";"";"";
"58";"SAMAZAN AGRO AU SILO";".0000000";".0000000";"";"";
"61";"BOUGLON";"44.4105100";".1259990";"";"";
"84";"DFP LIVRAISON DIRECTE";".0000000";".0000000";"";"";
"242";"STOCK LARRIEU";".0000000";".0000000";"";"";
"245";"STOCK COSTE";".0000000";".0000000";"";"";
"246";"STOCK WUJCIAK";".0000000";".0000000";"";"";
"261";"STOCK AMBLEVERT";".0000000";".0000000";"";"";
"265";"STOCK GOURGUES";".0000000";".0000000";"";"";
"344";"STOCK AUGIZEAU";".0000000";".0000000";"";"";
"502";"LAYRAC";".0000000";".0000000";"";"";
"503";"MEILHAN";"44.4937500";".0654410";"";"";
"602";"RAZIMET";"44.3540100";".2498500";"";"";
"604";"STE GEMME";"43.7736310";".7962060";"";"";
"606";"OUDRY LA CROIX BLANCHE";".0000000";".0000000";"";"";
"607";"PORT STE FOY";".0000000";".0000000";"";"";
"608";"ST VIVIEN DU MEDOC";"45.4506700";"-1.0446670";"";"";
"609";"DEPOT ANGIER AIGUILLON";".0000000";".0000000";"";"";
"651";"ST MARTIN LACAUSSADE";"45.1420750";"-.6480220";"";"";
"658";"STOCK CHARLES XAVIER";".0000000";".0000000";"";"";
"995";"SIEGE SDA NEGOCES";".0000000";".0000000";"";"";
"66";"COURSAC";"45.1421600";".6778050";"";"";
"6";"MONBAHUS SDA";"44.5516000";".5245500";"";"";
"57";"CASTILLONNES LA SALEVE";"44.6632520";".6019470";"";"";
"60";"NEGRONDES";"45.3369600";".8685130";"";"";
"67";"LANOUAILLE";"45.3884500";"1.1376900";"";"";
"85";"STOCK ATTENTE ENGRAIS";".0000000";".0000000";"";"";
"87";"SUD ELEVAGE STE LIVRADE";".0000000";".0000000";"";"";
"48";"BOE INNOVERT";".0000000";".0000000";"";"VEUILLEZ REPRENDRE NOTRE N° COMMANDE";
"68";"SOTRASO VILLENEUVE";".0000000";".0000000";"";"";
"902";"SATAR VALORIZON DAMAZAN";".0000000";".0000000";"";"";
"701";"GAMM VERT SARL AGRI";".0000000";".0000000";"";"";
"903";"LA QUEILLE SATAR VALORIZON";".0000000";".0000000";"";"";
"904";"LA QUEILLE SOTRASO";".0000000";".0000000";"";"";
"198";"LIVRAISONS POINTS RELAIS";".0000000";".0000000";"";"";
"640";"AIRE SUR ADOUR";".0000000";".0000000";"";"";
"641";"GRENADE SUR ADOUR";".0000000";".0000000";"";"";
"642";"TARTAS";".0000000";".0000000";"";"";
"834";"ATELIER DELTA SUD TONNEINS";".0000000";".0000000";"";"";
"74";"ATELIER MOTOCULTURE DU REOLAIS";".0000000";".0000000";"";"";
